gene_id	WT1	WT2	WT3	DUS1LKO1	DUS1LKO2	DUS1LKO3
ENSG00000000003.16	357	407	342	298	291	300
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.14	2442.41	2824.13	2293.8	2405.21	2212	2406.61
ENSG00000000457.14	342.9	357.15	267.14	352.04	310.5	290.41
ENSG00000000460.17	562.1	638.85	525.86	575.96	471.5	556.59
ENSG00000000938.13	0	0	6	12	2	1
ENSG00000000971.17	10	26	17	11	37	13.2
ENSG00000001036.14	770.99	877.96	721.95	707.96	672.98	713.99
ENSG00000001084.13	767	812	723	858	750	733
ENSG00000001167.15	596	635	643	590	553	588
ENSG00000001460.18	321	348	317	361	329	275
ENSG00000001461.17	1688	2034	1761	1195	1132	1234
ENSG00000001497.18	1282	1419	1351	1554	1377	1428
ENSG00000001561.7	61	62	81	62	54	61
ENSG00000001617.12	230	260	237	235	209	213
ENSG00000001626.18	1	2	0	3	1	0
ENSG00000001629.10	1072	1199	1023	1038	1070	1106
ENSG00000001630.18	757	890	713.97	819.62	747.9	844.08
ENSG00000001631.17	598.3	622.54	674.52	779.05	737.15	714.98
ENSG00000002016.18	167	221	220	243	220	242
ENSG00000002079.15	3.22	3.87	10.45	10.87	13.58	8.58
ENSG00000002330.14	592.73	742.71	661.54	645.44	560.44	514
ENSG00000002549.13	1600	1681	1518	1734	1494	1668
ENSG00000002586.20	625	671.5	608	507	437	437.5
ENSG00000002587.10	24	19	28	23	25	23
ENSG00000002726.21	0	0	0	1	0	0
ENSG00000002745.13	4	2	6	4	2	4
ENSG00000002746.15	27	50	46	44	37	30
ENSG00000002822.16	918.81	969.04	980.27	1077.22	1029.16	1162.02
ENSG00000002834.19	4328	5289	4988	5003	4872	5026
ENSG00000002919.15	454	465	425	657	555	625
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	4429.84	4361.56	4039.1	4861.6	4456.27	4660.33
ENSG00000003096.15	94	111	92	59	79	49
ENSG00000003137.9	156	152	120	136	113	123
ENSG00000003147.19	212	219	144	175	137	163
ENSG00000003249.15	819	888	784	739	674	671
ENSG00000003393.16	602	588	544	705	689	697
ENSG00000003400.16	53	59	68	85	81	78
ENSG00000003402.21	267.02	360.25	343.52	538.8	506.69	447.36
ENSG00000003436.16	73	84	86	94	84	102
ENSG00000003509.16	579.67	538.5	550.39	514.87	482.35	544.73
ENSG00000003756.17	1460.47	1350.4	1293.54	1666.48	1499.02	1543.64
ENSG00000003987.14	30.4	41.09	37.51	37.14	40.1	28.06
ENSG00000003989.18	206	240	238	204	152	176
ENSG00000004059.11	1216	1317	1210	1179	1000	1088
ENSG00000004139.14	610.55	769.04	648.4	697.59	620.3	604.69
ENSG00000004142.12	2920.02	3259.87	3066.62	3189.44	2988.44	3177.26
ENSG00000004399.13	835	954	922	742	707	808
ENSG00000004455.18	5659	5837	5495	5359	5068.64	5264
ENSG00000004468.13	2	2	4	4	10	0
ENSG00000004478.8	4036	4537	4302	5174	4870	4745.89
ENSG00000004487.18	3108	3330	3026	2661	2569	2676
ENSG00000004534.15	1599	1678.35	1633.19	1653.38	1481.7	1417.13
ENSG00000004660.15	115	115	104	114	85	130
ENSG00000004700.16	1516.97	1495.38	1459.56	1540.62	1384.12	1459.99
ENSG00000004766.17	358	295	251	369	383	342
ENSG00000004776.13	4.42	17	12	5	7.17	8
ENSG00000004777.19	159	233	236	151	112	125
ENSG00000004779.10	1741	1865	1725	1717	1435	1412
ENSG00000004799.8	142	161	127	76	84	97
ENSG00000004809.14	3	0	0	6	4	1
ENSG00000004838.14	21	13	17	24	10	10
ENSG00000004846.17	1	0	0	0	0	0
ENSG00000004848.8	1	0	2	1	0	3
ENSG00000004864.14	866	1055	940	1168	984	1008
ENSG00000004866.22	508.55	484.86	424.39	589.94	521.52	605.2
ENSG00000004897.12	2274	2549	2186	1832	1770	1827
