"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100292",1422.66805011993,2.31521538283111,0.0894088153225927,25.8947104318256,7.63897700714872e-148,1.36752966381976e-143
"ENSG00000132002",12077.2751188788,1.89559884781259,0.078603053668514,24.1160967588708,1.69460126208594e-128,1.51683758969312e-124
"ENSG00000120694",14216.5457014299,1.23727884041225,0.0582832291177216,21.2287283862253,5.18464475647303e-100,3.09385034767934e-96
"ENSG00000151929",7239.15118187232,1.2303225164781,0.0584976908917501,21.0319843009668,3.34368521346385e-98,1.49646631728575e-94
"ENSG00000106511",1480.21077190384,-1.87047381863037,0.0889846121238588,-21.02019409858,4.28677043123039e-98,1.53483528519773e-94
"ENSG00000161011",33172.7529348,0.901698301282268,0.043609798117684,20.6765071200049,5.63780861119024e-95,1.68213416262546e-91
"ENSG00000162512",2868.12094600523,-1.47335690631591,0.0737394817901856,-19.9805703884402,8.12898207968905e-89,2.07892910272276e-85
"ENSG00000162772",5546.95750562884,1.83855219300245,0.0963788772440164,19.0762981015801,3.97430774539932e-81,8.89350715726732e-78
"ENSG00000124762",6088.53660689938,1.24690599963166,0.0658829101685339,18.9260917048439,6.95338404978214e-80,1.38310534732444e-76
"ENSG00000112984",1862.2301497613,-1.57160507398702,0.0857284883834194,-18.3323548988527,4.56697618291692e-75,8.17580076265787e-72
"ENSG00000143322",4553.03675417329,1.32547776471817,0.0749147273359267,17.6931534272903,4.73498718035479e-70,7.70597640933741e-67
"ENSG00000131747",6635.50566011847,-1.00913552124065,0.0584801772572336,-17.2560270602775,1.00813067877435e-66,1.50396295095154e-63
"ENSG00000134954",4250.86825289421,1.18003145495269,0.0711343794772916,16.5887643024902,8.40315137323077e-62,1.15717858371982e-58
"ENSG00000177606",3573.73401947711,1.75708597205262,0.10980717294904,16.0015591410232,1.24614805905836e-57,1.59346732523306e-54
"ENSG00000142627",4564.10232498659,1.02996818787582,0.064958398302938,15.8558125628728,1.28159175726262e-56,1.52953704256769e-53
"ENSG00000092758",8688.84365422647,-0.909340195880712,0.0575159794353459,-15.8102183916195,2.64548191445774e-56,2.9599635770389e-53
"ENSG00000162783",2874.46237409258,1.12356721695203,0.0736838998293845,15.2484765268079,1.68519317575913e-52,1.7746075430847e-49
"ENSG00000185022",1870.36934542253,1.30487833716462,0.0861798781003081,15.1413342177837,8.64420261343356e-52,8.5971397325382e-49
"ENSG00000117724",4638.23443237276,-0.88981203659154,0.0602755462810088,-14.7624051790949,2.5598634992218e-49,2.41193033489835e-46
"ENSG00000103257",19227.4919080154,1.08754996596447,0.0739435831086601,14.7078342736828,5.74157102134454e-49,5.1392802212055e-46
"ENSG00000081041",780.68753736504,2.39322363489379,0.164424034971758,14.5551934381422,5.4132596794931e-48,4.61467498963265e-45
"ENSG00000128016",1764.22174469835,1.19524186236694,0.0821782064198671,14.544511427521,6.32810299773515e-48,5.14934999388431e-45
"ENSG00000118503",3530.72569281974,1.50919321180797,0.103967714792635,14.515979453988,9.59769088412994e-48,7.47034183511714e-45
"ENSG00000168003",17376.5231941079,1.06282739833481,0.0733936304198421,14.4811939708527,1.59305685138793e-47,1.18828765639778e-44
"ENSG00000130513",1741.08075432447,1.62297351323169,0.113158827910323,14.342438351499,1.18806689241026e-46,8.50750940317142e-44
"ENSG00000155660",14088.9274169729,-0.801641447004317,0.0561826852177181,-14.268478694064,3.44001229184913e-46,2.3685807711032e-43
"ENSG00000071575",1180.84276906132,-1.40154501453834,0.0984216440398232,-14.2402113702881,5.15708368583e-46,3.30580780509426e-43
"ENSG00000114019",3165.07907472853,1.04323177818209,0.0732605065197251,14.2400295567327,5.17051829642718e-46,3.30580780509426e-43
"ENSG00000113504",2613.97138706184,1.27437716033229,0.0906514936879871,14.0579830346598,6.88197955070033e-45,4.24831716953922e-42
"ENSG00000126787",1503.07735316705,-1.04292226238179,0.0747287861191306,-13.9560979984231,2.88819177158475e-44,1.71915975165079e-41
"ENSG00000116132",1914.15468784867,-1.89336108403783,0.135686494151104,-13.9539391586707,2.9769831472e-44,1.71915975165079e-41
"ENSG00000116717",4691.81784904808,1.44912164059602,0.103870501976978,13.9512336324051,3.09210310452685e-44,1.72983843053874e-41
"ENSG00000128564",9100.66003053175,-0.987266537768484,0.0707969830740063,-13.9450368490486,3.37273796579114e-44,1.8296592443513e-41
"ENSG00000138434",3768.55117117584,-1.10739381882886,0.0801188735732948,-13.8218845253208,1.88080705212181e-43,9.90300230796608e-41
"ENSG00000087074",16566.5353456622,1.23390342196631,0.0894284484003249,13.7976610803171,2.63256166507636e-43,1.34651768366277e-40
"ENSG00000189060",5563.13964481372,-0.811674016779823,0.0589449630354259,-13.7700318226005,3.86043061950029e-43,1.91970635973039e-40
"ENSG00000127863",730.104350535627,-1.55250016299637,0.112790917093771,-13.7644076579825,4.17290386594986e-43,2.01900878400633e-40
"ENSG00000120802",3829.34654160143,-0.780546116349084,0.0567261513633912,-13.7598990516536,4.44146613895795e-43,2.09239807420066e-40
"ENSG00000162616",1070.35807726632,1.45126199107418,0.106713388010977,13.5996243594562,4.02495349681995e-42,1.84755685897617e-39
"ENSG00000204389",40446.4761357875,2.81021994924323,0.206715620491467,13.5946182613676,4.310035645133e-42,1.92895645297927e-39
"ENSG00000189403",11079.8517227671,-0.724686317093917,0.053457304589461,-13.5563572211381,7.26557225456644e-42,3.17239693905484e-39
"ENSG00000066279",2310.60180599365,-0.922823316583303,0.0684839174672532,-13.4750369241737,2.19375585180186e-41,9.3506231568945e-39
"ENSG00000132510",3126.32182913828,1.27608515549487,0.0950812534706185,13.4209963469739,4.5554707897619e-41,1.89655902507715e-38
"ENSG00000122641",4868.12346323533,1.09593722394713,0.0827799267671513,13.2391663866755,5.21241533787019e-40,2.12074225860346e-37
"ENSG00000101187",2091.87208061167,-1.25741640218228,0.0957438139541318,-13.1331346669005,2.12667496687983e-39,8.46038561268503e-37
"ENSG00000152137",1060.8072222643,1.43747557341014,0.109791718247187,13.0927504948394,3.62248385989284e-39,1.40977621869134e-36
"ENSG00000159388",889.682946578399,1.32386800503527,0.101349830617427,13.0623603115093,5.40263434216475e-39,2.0578289360305e-36
"ENSG00000105519",949.933787547598,-1.25624659006354,0.0963007205259177,-13.0450383258082,6.78228802066465e-39,2.52951083637372e-36
"ENSG00000163734",452.260166338337,2.49420580618063,0.191440999795446,13.0285874438896,8.41511109352566e-39,3.07443507747544e-36
"ENSG00000099860",1140.3628458023,1.25211754132218,0.0962406323601863,13.0102796564766,1.06949975992307e-38,3.82923694042854e-36
"ENSG00000204388",20190.7610570509,2.66730432074292,0.205308361928666,12.991698417377,1.36366823005687e-38,4.78674287342706e-36
"ENSG00000164400",237.921206656305,2.98296821335658,0.231408844408486,12.8904676093149,5.09340372876989e-38,1.75350218370074e-35
